video	video_duration(s)	execution_time(s)	ratio
montecristo1.mp4	34.29	6.74	0.197
montecristo2.mp4	13.04	2.60	0.200
montecristo3.mp4	12.75	2.53	0.199
shinning1.mp4	29.78	11.67	0.392
shinning2.mp4	21.02	8.38	0.398
shinning3.mp4	19.60	7.74	0.395

Temps total video: 3093.81s
Temps total : 927.68s
Ratio total : 0.300
