video/plan,Chen,Faster,Middle,Pei,Yolom,Zhang,source
1960-5-2 plan_n°378.mp4,0,0,0,0,0,0,BS
1960-6-1 plan_n°67.mp4,0,0,0,0,0,0,BS
1960-6-2 plan_n°171.mp4,0,0,0,0,0,0,BS
1960-7-1 plan_n°47.mp4,0,0,0,0,0,0,BS
1960-7-2 plan_n°343.mp4,0,0,0,0,0,0,BS
1960-8-1 plan_n°171.mp4,0,0,0,0,0,0,BS
1960-8-2 plan_n°295.mp4,0,0,0,0,0,0,BS
1970-1-1 plan_n°963.mp4,0,0,0,0,0,0,BS
1970-1-2 plan_n°1122.mp4,0,0,0,0,0,0,BS
1970-2-1 plan_n°100.mp4,0,0,0,0,0,0,BS
1970-2-2 plan_n°326.mp4,0,0,0,0,0,0,BS
1970-3-1 plan_n°444.mp4,0,0,0,0,0,0,BS
1970-3-2 plan_n°789.mp4,0,0,0,0,0,0,BS
1970-4-1 plan_n°64.mp4,0,0,0,0,0,0,BS
1970-4-2 plan_n°330.mp4,0,0,0,0,0,0,BS
1970-5-1 plan_n°335.mp4,0,0,0,0,0,0,BS
1970-5-2 plan_n°581.mp4,0,0,0,0,0,0,BS
1970-6-1 plan_n°76.mp4,0,0,0,0,0,0,BS
1970-6-2 plan_n°417.mp4,0,0,0,0,0,0,BS
1970-7-1 plan_n°77.mp4,0,0,0,0,0,0,BS
1970-7-2 plan_n°446.mp4,0,0,0,0,0,0,BS
1970-8-1 plan_n°162.mp4,0,0,0,0,0,0,BS
1970-8-2 plan_n°301.mp4,0,0,0,0,0,0,BS
1980-1-1 plan_n°165.mp4,0,0,0,0,0,0,BS
1980-1-2 plan_n°247.mp4,0,0,0,0,0,0,BS
1980-2-1 plan_n°131.mp4,0,0,0,0,0,0,BS
1980-2-2 plan_n°330.mp4,0,0,0,0,0,0,BS
1980-3-1 plan_n°569.mp4,0,0,0,0,0,0,BS
1980-3-2 plan_n°735.mp4,0,0,0,0,0,0,BS
1980-4-1 plan_n°114.mp4,0,0,0,0,0,0,BS
1980-4-2 plan_n°535.mp4,0,0,0,0,0,0,BS
1980-5-1 plan_n°374.mp4,0,0,0,0,0,0,BS
1980-5-2 plan_n°490.mp4,0,0,0,0,0,0,BS
1980-6-1 plan_n°16.mp4,0,0,0,0,0,0,BS
1980-6-2 plan_n°55.mp4,0,0,0,0,0,0,BS
1980-7-1 plan_n°60.mp4,0,0,0,0,0,0,BS
1980-7-2 plan_n°276.mp4,0,0,0,0,0,0,BS
1990-1-1 plan_n°52 (maj).mp4,0,0,0,0,0,0,BS
1990-1-2 plan_n°1299 (maj).mp4,0,0,0,0,0,0,BS
