video	video_duration(s)	execution_time(s)	ratio
johnwick4.mp4	26.53	8.15	0.307
lecorniaud1.mp4	21.12	4.87	0.231
lecorniaud2.mp4	15.48	3.60	0.232
lecorniaud3.mp4	25.92	6.07	0.234
lecorniaud4.mp4	36.60	8.61	0.235
montecristo1.mp4	34.29	7.58	0.221
montecristo2.mp4	13.04	2.96	0.227
montecristo3.mp4	12.75	2.89	0.226
shinning1.mp4	29.78	12.40	0.416
shinning2.mp4	21.02	8.68	0.413
shinning3.mp4	19.60	8.25	0.421

Temps total video: 3093.81s
Temps total : 1012.43s
Ratio total : 0.327
