,Faster R-CNN,RT-DETR-l,RetinaNet,YOLOv8-l,YOLOv8-m
Faster R-CNN,1.0,0.6169729343206872,0.8993734282112853,0.8225946467291461,0.8343411385303221
RT-DETR-l,0.6169729343206872,1.0,0.8007482050382546,0.9531433147790932,0.9404909362587905
RetinaNet,0.8993734282112853,0.8007482050382546,1.0,0.9593770911720914,0.947500307103456
YOLOv8-l,0.8225946467291461,0.9531433147790932,0.9593770911720914,1.0,0.9982210529925212
YOLOv8-m,0.8343411385303221,0.9404909362587905,0.947500307103456,0.9982210529925212,1.0
