,Faster,RT-DETR,Retina,Yolov8_l,Yolov8_m
Faster,0.0,1.5316517760683699,0.697453006517708,0.7458975630353977,0.6580860701091008
RT-DETR,1.5316517760683699,0.0,0.3413819730842573,0.11781471322403037,0.1075349768290689
Retina,0.697453006517708,0.3413819730842573,0.0,0.23778234053767722,0.2823278918419972
Yolov8_l,0.7458975630353977,0.11781471322403037,0.23778234053767722,0.0,0.13922622812044172
Yolov8_m,0.6580860701091008,0.1075349768290689,0.2823278918419972,0.13922622812044172,0.0
