video	video_duration(s)	execution_time(s)	ratio
johnwick1.mp4	22.69	42.72	1.883
johnwick2.mp4	28.40	53.17	1.872
johnwick3.mp4	24.15	45.62	1.889
johnwick4.mp4	26.53	49.78	1.876
lecorniaud1.mp4	21.12	36.47	1.727
lecorniaud2.mp4	15.48	26.71	1.725
lecorniaud3.mp4	25.92	45.10	1.740
lecorniaud4.mp4	36.60	63.73	1.741
montecristo1.mp4	34.29	57.00	1.662
montecristo2.mp4	13.04	21.81	1.672
montecristo3.mp4	12.75	21.21	1.664
shinning1.mp4	29.78	74.74	2.510
shinning2.mp4	21.02	52.98	2.520
shinning3.mp4	19.60	49.45	2.523

Temps total video: 3093.81s
Temps total : 6656.95s
Ratio total : 2.152
