video	video_duration(s)	execution_time(s)	ratio
dinerdecons1.mp4	10.46	19.65	1.878
dinerdecons2.mp4	13.83	26.12	1.888
dinerdecons3.mp4	17.38	32.93	1.895
dinerdecons4.mp4	10.62	20.23	1.904
johnwick1.mp4	22.69	42.58	1.877
johnwick2.mp4	28.40	53.05	1.868
johnwick3.mp4	24.15	45.08	1.867
johnwick4.mp4	26.53	49.62	1.871
lecorniaud1.mp4	21.12	36.82	1.743
lecorniaud2.mp4	15.48	27.06	1.748
lecorniaud3.mp4	25.92	45.19	1.743
lecorniaud4.mp4	36.60	64.04	1.750
montecristo1.mp4	34.29	57.38	1.673
montecristo2.mp4	13.04	21.88	1.678
montecristo3.mp4	12.75	21.49	1.686
shinning1.mp4	29.78	73.04	2.453
shinning2.mp4	21.02	51.77	2.463
shinning3.mp4	19.60	48.29	2.463

Temps total video: 3093.81s
Temps total : 6578.99s
Ratio total : 2.126
